Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,19820.470703,24572.580078,18966.951172,23336.896484,23336.896484,927582363389
2022-08-01,23336.718750,25135.589844,19600.785156,20049.763672,20049.763672,894192654543
2022-09-01,20050.498047,22673.820313,18290.314453,19431.789063,19431.789063,1123272250385
2022-10-01,19431.105469,20988.394531,18319.822266,20495.773438,20495.773438,957903424925
2022-11-01,20494.898438,21446.886719,15599.046875,17168.566406,17168.566406,1224531549126
2022-12-01,17168.001953,18318.531250,16398.136719,16547.496094,16547.496094,541356716034
2023-01-01,16547.914063,23919.890625,16521.234375,23139.283203,23139.283203,690994018045
2023-02-01,23137.835938,25134.117188,21460.087891,23147.353516,23147.353516,723968574897
2023-03-01,23150.929688,29159.902344,19628.253906,28478.484375,28478.484375,883299703608
2023-04-01,28473.332031,31005.607422,27070.849609,29268.806641,29268.806641,511540319004
2023-05-01,29227.103516,29820.126953,25878.429688,27219.658203,27219.658203,443473015479
2023-06-01,27218.412109,27407.019531,24797.167969,26327.462891,26327.462891,236010935974
2023-06-19,26380.005859,26929.128906,26333.376953,26749.660156,26749.660156,13247640576
